"ID","Lote","Categoria","Titulo","Solucion propuesta","Logica de test","Criterio de aceptacion","Estado","Prioridad"
"129","L2 Sensacion","Posesion","Bloquear posesion de un caido con motivo","Ya se rechaza pero conviene explicar el motivo","Matar un soldado, intentar poseerlo y leer el mensaje","Aparece el mensaje y no cambia el poseido","HECHO","Media"
"130","L2 Sensacion","Posesion","Poseer al mas cercano","Tecla que posee el aliado vivo mas proximo","Ejecutar y comparar contra el de menor distancia","Se posee el mas cercano vivo","HECHO","Media"
"131","L2 Sensacion","Posesion","Ciclar entre vivos","Tecla que rota en orden saltando los muertos","Con uno de tres muerto, ciclar tres veces y registrar los poseidos","Nunca cae en el muerto","HECHO","Alta"
"132","L2 Sensacion","Posesion","Conservar orientacion al cambiar","Arrancar mirando hacia donde miraba ese soldado y no heredar el pitch","Poseer y comparar el pitch de camara contra el del soldado","El pitch corresponde al soldado nuevo","HECHO","Media"
"133","L2 Sensacion","Posesion","Marcador del poseido en el mundo","Marca sobre su cabeza visible en RTS, el roster ya lo marca","Cambiar de poseido y verificar que la marca lo sigue","La marca esta siempre sobre el poseido actual","HECHO","Media"
"134","L2 Sensacion","Posesion","Aviso de devolucion a la IA","Al cambiar de soldado el anterior se reactiva sin decir nada","Cambiar y verificar el aviso y el flag IsPossessedByPlayer","Aparece el aviso y el flag queda en false","HECHO","Media"
"135","L2 Sensacion","Posesion","Vista previa antes de poseer","Al apuntar a un aliado mostrar tambien su estado de IA","Apuntar a un aliado en combate y leer el panel","El panel incluye el estado de IA","HECHO","Media"
"136","L3 Feedback y escala","Destruccion","Obstaculos destructibles por etapas","Dar vida a ObstacleMarker con mallas mas dañadas y colapso final","Aplicar daño por tramos y leer el estado visual en cada umbral","Cambia de etapa en cada umbral y colapsa al morir","HECHO","Alta"
"137","L3 Feedback y escala","Destruccion","Pool de escombros compartido","DebrisPool global con presupuesto fijo que recicla los mas viejos","Generar mas escombros que el presupuesto y contar objetos activos","Nunca supera el tope y no hay Instantiate en combate","HECHO","Alta"
"138","L3 Feedback y escala","Destruccion","Escombros con vida corta","Se hunden y se apagan a los cuatro segundos para no acumularse","Generar escombros y contar los activos tras cinco segundos","Los escombros expiran y vuelven al pool","HECHO","Media"
"139","L3 Feedback y escala","Destruccion","Crateres decal en el suelo","Anillo proyectado donde explota, con cupo maximo y reciclado","Generar mas crateres que el cupo y contar los activos","Se mantiene en el cupo reciclando los mas viejos","HECHO","Media"
"140","L3 Feedback y escala","Destruccion","Escala del efecto segun daño","Un impacto pesado deja crater y polvo mayores que uno liviano","Impactar con dos armas distintas y comparar el tamaño del efecto","El tamaño escala con el daño del proyectil","HECHO","Media"
"141","L3 Feedback y escala","Destruccion","Onda expansiva visible","Anillo que se expande y desvanece en el explosionRadius real","Comparar el radio final del anillo contra el campo del arma","Coinciden exactamente","HECHO","Alta"
"142","L3 Feedback y escala","Destruccion","Empuje de cuerpos por explosion","Los soldados dentro del radio salen despedidos segun la distancia","Explotar cerca de dos soldados a distinta distancia y medir desplazamiento","El mas cercano se desplaza mas","HECHO","Media"
"143","L3 Feedback y escala","Destruccion","Polvo persistente en la zona","Nube breve que oscurece la vision donde cayo el obus","Explotar y verificar que el efecto existe y expira","Aparece en el punto y se disipa solo","HECHO","Baja"
"144","L3 Feedback y escala","Destruccion","Marcas de bala acumulables","Decals chicos con cupo por superficie","Disparar muchas veces a una superficie y contar decals","No supera el cupo por superficie","HECHO","Baja"
"145","L3 Feedback y escala","Destruccion","Props que reaccionan al tanque","Objetos livianos que se voltean al pasar el vehiculo","Pasar el tanque sobre un prop y leer su rotacion","El prop cambia de rotacion al ser atropellado","HECHO","Baja"
"146","L3 Feedback y escala","Destruccion","Chispas al rebotar en blindaje","Impacto contra vehiculo genera chispas metalicas distintas del polvo","Disparar a vehiculo y a suelo y comparar los efectos","Los efectos son distintos","HECHO","Media"
"147","L3 Feedback y escala","Destruccion","Destruccion del vehiculo en dos etapas","Primero humo y torreta muerta, despues explosion final","Bajar la vida del vehiculo por tramos y leer el estado","Pasa por las dos etapas en orden","HECHO","Alta"
"148","L3 Feedback y escala","Destruccion","Torreta que sale volando","Desprender el cañon como pieza suelta al destruirse el tanque","Destruir el vehiculo y verificar que la torreta se separo","La torreta queda como objeto independiente","HECHO","Media"
"149","L3 Feedback y escala","Destruccion","Casco quemado como cobertura","El vehiculo destruido persiste y sirve de parapeto","Destruir el vehiculo y verificar que el collider sigue activo","Los proyectiles siguen impactando en el casco","HECHO","Media"
"150","L3 Feedback y escala","Tanque","Doble capa de sonido en el cañon","Golpe grave de cuerpo mas crack agudo en vez del tono unico actual","Disparar y verificar que se reproducen dos clips distintos","Suenan las dos capas juntas","HECHO","Alta"
"151","L3 Feedback y escala","Tanque","Sacudida de camara con direccion","El culatazo empuja la camara en el eje opuesto al disparo","Disparar en dos orientaciones y comparar la direccion del desplazamiento","La direccion es opuesta al disparo en ambos casos","HECHO","Alta"
"152","L3 Feedback y escala","Tanque","Fogonazo con luz real","Light puntual de uno o dos frames que ilumina el entorno","Disparar y muestrear la intensidad de la luz en frames consecutivos","Se enciende y se apaga en pocos frames","HECHO","Alta"
"153","L3 Feedback y escala","Tanque","Anillo de polvo en la boca","Desplazar el polvo del suelo en cono al disparar cerca del piso","Disparar cerca y lejos del suelo y comparar el efecto","Solo aparece cerca del suelo","HECHO","Media"
"154","L3 Feedback y escala","Tanque","Zoom de mira del artillero","Reducir el FOV con viñeta de periscopio al apuntar","Activar la mira y leer el FOV de la camara","El FOV baja al valor de mira y vuelve al soltar","HECHO","Alta"
"155","L3 Feedback y escala","Tanque","Balistica visible con caida","El obus describe un arco perceptible en vez de linea recta","Registrar la altura del proyectil en varios instantes","La altura describe una parabola","HECHO","Media"
"156","L3 Feedback y escala","Tanque","Marca de impacto previsto","Punto que muestra donde va a caer segun la balistica","Disparar al punto previsto y comparar el impacto real","El impacto cae dentro de una tolerancia del punto previsto","HECHO","Alta"
"157","L3 Feedback y escala","Tanque","Sonido de mecanismo al recargar","Clac audible al terminar la recarga para no mirar el HUD","Forzar recarga y verificar el clip al completarse","Suena exactamente al terminar la recarga","HECHO","Media"
"158","L3 Feedback y escala","Tanque","Sobrecalentamiento del cañon","Disparar seguido baja la cadencia y enrojece el metal","Disparar en rafaga y medir el cooldown efectivo y el color","El cooldown sube y el color cambia con el calor","HECHO","Media"
"159","L3 Feedback y escala","Tanque","Camara de seguimiento del proyectil","Tecla opcional que sigue al obus unos instantes","Activar y verificar que la camara sigue al proyectil","La camara acompaña al proyectil y vuelve al terminar","HECHO","Baja"
"160","L3 Feedback y escala","Tanque","Tipos de municion","Alternar entre explosiva y perforante con reticulo e impacto distintos","Alternar y comparar reticulo, daño y efecto de impacto","Los dos tipos difieren en los tres aspectos","HECHO","Media"
"161","L3 Feedback y escala","Tanque","Vibracion del chasis al disparar","Todo el vehiculo se sacude para que se lea desde afuera","Disparar y muestrear la posicion del chasis en frames siguientes","El chasis se desplaza y vuelve","HECHO","Media"
"162","L3 Feedback y escala","Impacto enemigo","Hitmarker en capas","Distinto para impacto normal, critico y muerte en forma, color y sonido","Generar los tres casos y comparar los efectos","Los tres casos producen señales distintas","Pendiente","Alta"
"163","L3 Feedback y escala","Impacto enemigo","Numeros de daño agregados","Acumular en un solo numero creciente si se pega rapido","Aplicar tres daños seguidos y contar los textos generados","Se genera un solo texto con la suma","Pendiente","Alta"
"164","L3 Feedback y escala","Impacto enemigo","Destello blanco en el cuerpo golpeado","Flash de material de una decima de segundo, la señal mas rapida","Aplicar daño y muestrear el color del material en frames siguientes","Se ilumina y vuelve al color original","Pendiente","Alta"
"165","L3 Feedback y escala","Impacto enemigo","Barra de vida flotante solo al dañar","Aparece sobre el enemigo golpeado y se oculta a los tres segundos","Dañar un enemigo y leer el estado de su barra en el tiempo","Aparece al dañar y se oculta sola","Pendiente","Alta"
"166","L3 Feedback y escala","Impacto enemigo","Muerte con ragdoll simple","Caida con rotacion en vez de desaparecer","Matar un enemigo y muestrear su rotacion en frames siguientes","La rotacion cambia durante la caida","Pendiente","Media"
"167","L3 Feedback y escala","Impacto enemigo","Silueta de muerte","Destello del contorno al morir, legible en pantalla llena","Matar un enemigo y verificar el efecto de contorno","El contorno destella y se apaga","Pendiente","Media"
"168","L3 Feedback y escala","Impacto enemigo","Escalado del kill feed","Agrupar en una linea cuando hay muchas bajas seguidas","Matar cinco enemigos casi a la vez y contar lineas del feed","Se agrupan en vez de apilar cinco lineas","Pendiente","Alta"
"169","L3 Feedback y escala","Impacto enemigo","Racha de bajas","Contador de bajas seguidas con sonido ascendente que se corta al recibir daño","Matar tres seguidos, recibir daño y leer el contador","El contador sube y se reinicia al recibir daño","Pendiente","Media"
"170","L3 Feedback y escala","Impacto enemigo","Camara lenta en la ultima baja","Instante de camara lenta al matar al ultimo enemigo","Matar al ultimo y leer Time.timeScale en los frames siguientes","timeScale baja y vuelve a uno","Pendiente","Media"
"171","L3 Feedback y escala","Impacto enemigo","Distinguir bajas propias de aliadas","Diferenciar en el feed quien hizo la baja","Matar uno y hacer que un aliado mate otro y comparar el feed","Las dos lineas se distinguen","Pendiente","Media"
"172","L3 Feedback y escala","Impacto enemigo","Aviso de enemigo por morir","Contorno que parpadea bajo cierto porcentaje de vida","Bajar la vida de un enemigo bajo el umbral y leer el efecto","El parpadeo aparece solo bajo el umbral","Pendiente","Media"
"173","L3 Feedback y escala","Impacto enemigo","Reaccion sonora del enemigo","Sonido al ser herido distinto al de muerte","Herir y matar y comparar los clips reproducidos","Los dos casos usan clips distintos","Pendiente","Media"
"174","L3 Feedback y escala","Impacto enemigo","Marcar al enemigo que te mato","En la camara de muerte resaltar quien fue","Morir por un enemigo conocido y verificar el resalte","El resalte cae sobre el atacante correcto","Pendiente","Media"
"175","L3 Feedback y escala","Impacto enemigo","Aviso de bajas fuera de pantalla","Indicador en el borde cuando cae alguien no visible","Matar un enemigo fuera de camara y leer el indicador","Aparece en la direccion correcta","Pendiente","Media"
"176","L3 Feedback y escala","Efectos de pantalla","Aberracion cromatica por daño","Escala con lo cerca que se este de morir","Recibir daño con vida alta y baja y comparar la intensidad","La intensidad es mayor con vida baja","Pendiente","Media"
"177","L3 Feedback y escala","Efectos de pantalla","Latido con poca vida","Pulso rojo sincronizado con un sonido de corazon","Bajar la vida al minimo y muestrear el efecto en el tiempo","El pulso es periodico y se detiene al curarse","Pendiente","Media"
"178","L3 Feedback y escala","Efectos de pantalla","Desenfoque de movimiento en el tanque","Solo a alta velocidad para reforzar el peso","Comparar el efecto a velocidad baja y alta","Solo se activa sobre el umbral de velocidad","Pendiente","Baja"
"179","L3 Feedback y escala","Efectos de pantalla","Sacudida por explosion cercana","Amplitud segun distancia con un tope para no marear","Explotar a dos distancias y comparar la amplitud","La amplitud decae con la distancia y respeta el tope","Pendiente","Alta"
"180","L3 Feedback y escala","Efectos de pantalla","Presupuesto unico de sacudida","Un solo sistema que suma y limita todas las fuentes","Disparar diez fuentes simultaneas y medir la amplitud total","Nunca supera el tope definido","Pendiente","Alta"
"181","L3 Feedback y escala","Efectos de pantalla","Destello y sordera por explosion muy cercana","Pantalla blanca breve mas audio filtrado","Explotar muy cerca y verificar los dos efectos","Se activan juntos y se recuperan solos","Pendiente","Media"
"182","L3 Feedback y escala","Efectos de pantalla","Viñeta de velocidad","Se cierra al acelerar el vehiculo","Acelerar y comparar la viñeta a velocidad cero y maxima","La viñeta se cierra con la velocidad","Pendiente","Baja"
"183","L3 Feedback y escala","Efectos de pantalla","Balanceo al caminar","Vaiven sutil en FPS, hoy el movimiento es plano","Caminar y muestrear la posicion de camara","Hay oscilacion periodica al moverse y no al estar quieto","Pendiente","Media"
"184","L3 Feedback y escala","Efectos de pantalla","Desenfoque en la transicion de modo","Flash corto que tapa el cambio de proyeccion","Alternar modo y verificar el efecto durante la transicion","El efecto cubre el cambio y se apaga","Pendiente","Media"
"185","L3 Feedback y escala","Efectos de pantalla","Interruptor de efectos de camara","Opcion para desactivar todos por accesibilidad y rendimiento","Desactivar y verificar que ningun efecto se aplica","Con la opcion apagada no hay sacudida ni viñetas","Pendiente","Alta"
"186","L3 Feedback y escala","Audio","Mezclador con canales separados","Maestro, efectos, interfaz y ambiente como grupos independientes","Cambiar el volumen de un grupo y verificar que los otros no se alteran","Los grupos son independientes","Pendiente","Alta"
"187","L3 Feedback y escala","Audio","Atenuacion por distancia","Los disparos lejanos se oyen mas suaves y mas graves","Reproducir el mismo disparo a dos distancias y comparar volumen","El volumen decae con la distancia","Pendiente","Alta"
"188","L3 Feedback y escala","Audio","Reverberacion segun entorno","Distinta en espacio abierto que junto a un obstaculo","Disparar en los dos contextos y comparar la cola del sonido","La cola es mas larga junto a superficies","Pendiente","Baja"
"189","L3 Feedback y escala","Audio","Limite de voces simultaneas","Con cincuenta soldados hay que cortar por prioridad y distancia","Disparar cincuenta fuentes a la vez y contar AudioSources activos","Nunca supera el limite definido","Pendiente","Alta"
"190","L3 Feedback y escala","Audio","Ducking al disparar el tanque","El cañon baja momentaneamente el resto de la mezcla","Disparar el tanque y muestrear el volumen del grupo de efectos","El grupo baja y se recupera","Pendiente","Media"
"191","L3 Feedback y escala","Audio","Variacion de tono por instancia","Un cinco por ciento aleatorio evita el efecto de clones","Reproducir el mismo clip diez veces y comparar los pitch","Los pitch difieren dentro del rango","Pendiente","Media"
"192","L3 Feedback y escala","Audio","Colas de impacto por material","Metal, tierra y piedra con timbres distintos","Impactar los tres materiales y comparar los clips","Los tres usan clips distintos","Pendiente","Media"
"193","L3 Feedback y escala","Audio","Audio posicional real","Estereo segun de donde viene el disparo, clave para ubicar amenazas","Disparar desde izquierda y derecha y comparar el balance","El balance corresponde a la posicion","Pendiente","Alta"
"194","L3 Feedback y escala","Audio","Silbido de bala cercana","Sonido cuando un proyectil pasa cerca del jugador","Pasar un proyectil dentro y fuera del radio y verificar el sonido","Solo suena dentro del radio","Pendiente","Media"
"195","L3 Feedback y escala","Audio","Voces de la escuadra","Confirmacion hablada al recibir ordenes aunque sean tonos sinteticos","Dar una orden y verificar el clip de confirmacion","Suena una confirmacion por lote de orden","Pendiente","Media"
"196","L3 Feedback y escala","Audio","Musica dinamica por intensidad","Sube con el numero de enemigos activos cerca","Variar los enemigos cercanos y muestrear el nivel de musica","El nivel sigue a la cantidad de enemigos","Pendiente","Baja"
"197","L3 Feedback y escala","Audio","Silencio tactico","Bajar todo el audio un instante antes de un momento importante","Disparar el momento clave y muestrear el volumen previo","Hay una caida breve antes del golpe","Pendiente","Baja"
"198","L3 Feedback y escala","Ergonomia","Acciones frecuentes bajo la mano izquierda","Nada critico mas alla de la columna de la T, F1 F2 F3 obliga a soltar WASD","Listar los atajos y verificar su posicion en el teclado","Ningun atajo frecuente queda fuera de la zona izquierda","Pendiente","Alta"
"199","L3 Feedback y escala","Ergonomia","Ciclar posesion con teclas cercanas","Mover el cambio de soldado a teclas junto a WASD","Ejecutar el ciclo con la mano en posicion y verificar el cambio","El ciclo funciona sin mover la mano de WASD","Pendiente","Alta"
"200","L3 Feedback y escala","Ergonomia","Modificador consistente","El mismo modificador para encolar, sumar seleccion y correr","Probar las tres acciones con el modificador y verificar el comportamiento","Las tres responden al mismo modificador","Pendiente","Alta"
"201","L3 Feedback y escala","Ergonomia","Separar entrar y salir de vehiculo","Hoy una sola tecla es multiuso y genera acciones no deseadas","Ejecutar interaccion y salida y verificar que no se pisan","Cada tecla hace solo su accion","Pendiente","Media"
"202","L3 Feedback y escala","Ergonomia","Recentrar camara con la barra espaciadora","La tecla mas grande para la accion mas repetida en RTS","Ejecutar y comparar la posicion de camara con el centroide","La camara queda sobre la escuadra","Pendiente","Media"
"203","L3 Feedback y escala","Ergonomia","Convenciones estandar de recarga y camara","Usar las teclas que el jugador ya trae aprendidas","Ejecutar y verificar que hacen lo esperado","Coinciden con la convencion del genero","Pendiente","Media"
"204","L3 Feedback y escala","Ergonomia","Grupos en teclas numericas sin modificador","Recuperar con el numero y asignar con modificador, el estandar del genero","Asignar y recuperar y comparar los IDs","La recuperacion no necesita modificador","Pendiente","Alta"
"205","L3 Feedback y escala","Ergonomia","Evitar combinaciones de dos manos en combate","Nada de dobles modificadores durante un tiroteo","Revisar la tabla de atajos de combate","Ningun atajo de combate usa dos modificadores","Pendiente","Media"
"206","L3 Feedback y escala","Ergonomia","Cambio de arma con la rueda","Alternativa a las teclas numericas sin mover la mano","Girar la rueda y verificar el arma equipada","El arma cambia en orden con cada giro","Pendiente","Media"
"207","L3 Feedback y escala","Ergonomia","Mantener contra tocar","Tocar cambia de modo y mantener muestra un mapa tactico temporal","Simular pulsacion corta y larga y comparar el resultado","Cada duracion produce su accion","Pendiente","Media"
"208","L3 Feedback y escala","Ergonomia","Remapeo completo","Configuracion de teclas con deteccion de conflictos","Asignar una tecla ya usada y verificar el aviso","Se detecta el conflicto y no se guarda","Pendiente","Media"
"209","L3 Feedback y escala","Ergonomia","Cartel de controles contextual","Solo las teclas utiles en el estado actual","Leer el cartel en cada estado del juego","Muestra solo los atajos validos del estado","Pendiente","Alta"
"210","L3 Feedback y escala","Control a escala","Formaciones seleccionables","Linea, cuña y columna aplicadas al mover el grupo","Aplicar cada formacion y comparar los destinos generados","Cada formacion produce un patron distinto","Pendiente","Alta"
"211","L3 Feedback y escala","Control a escala","Dibujar la formacion arrastrando","La direccion del arrastre define hacia donde mira el grupo","Arrastrar en dos direcciones y comparar la orientacion resultante","La orientacion sigue al arrastre","Pendiente","Media"
"212","L3 Feedback y escala","Control a escala","Posturas de combate","Agresiva, defensiva y alto el fuego por unidad o grupo","Fijar cada postura y verificar el comportamiento de la IA","La IA responde distinto en cada postura","Pendiente","Alta"
"213","L3 Feedback y escala","Control a escala","Ordenes desde el minimapa","Click en el minimapa mueve la seleccion sin viajar con la camara","Ordenar desde el minimapa y comparar el destino con el punto del mundo","El destino corresponde al punto del minimapa","Pendiente","Alta"
"214","L3 Feedback y escala","Control a escala","Seleccion por tipo en pantalla","Seleccionar todos los de un rol visibles con una tecla","Ejecutar y verificar el rol de los seleccionados","Todos comparten rol y estan en pantalla","Pendiente","Media"
"215","L3 Feedback y escala","Control a escala","Tarjetas de grupo persistentes","Barras compactas por grupo de control con vida agregada","Crear grupos y leer las tarjetas","Hay una tarjeta por grupo con la vida sumada","Pendiente","Media"
"216","L3 Feedback y escala","Control a escala","Alerta priorizada","Cola de avisos que muestra lo importante primero y descarta lo redundante","Generar diez avisos simultaneos y leer los mostrados","Se muestran los prioritarios y no se saturan","Pendiente","Alta"
"217","L3 Feedback y escala","Control a escala","Orden de retirada","Comando que manda a los seleccionados al punto seguro mas cercano","Ejecutar y comparar el destino con el punto seguro","El destino es el punto seguro mas proximo","Pendiente","Media"
"218","L3 Feedback y escala","Control a escala","Vista previa de la ruta","Mostrar la linea que van a seguir antes de confirmar","Mantener el boton y verificar la linea antes de soltar","La linea aparece antes de confirmar","Pendiente","Media"
"219","L3 Feedback y escala","Control a escala","Reagrupar dispersos","Accion que junta a los que quedaron sueltos","Dispersar la escuadra, ejecutar y medir la dispersion resultante","La dispersion baja tras el reagrupamiento","Pendiente","Media"
"220","L3 Feedback y escala","Control a escala","Seleccionar solo los heridos","Filtro de seleccion por estado de salud para retirarlos","Herir a dos, ejecutar y leer los seleccionados","Solo quedan seleccionados los heridos","Pendiente","Baja"
"221","L3 Feedback y escala","Control a escala","Historial de ordenes","Panel con las ultimas ordenes dadas para no perder el hilo","Dar tres ordenes y leer el panel","Muestra las tres en orden cronologico","Pendiente","Baja"
"222","L3 Feedback y escala","Performance","Sacar FindObjectsByType del bucle","WorldSimulationDriver lo llama tres veces por frame, usar listas cacheadas","Instrumentar y contar llamadas durante cien frames","Cero llamadas por frame tras el cambio","HECHO","Critica"
"223","L3 Feedback y escala","Performance","Cachear AiBrain en el Soldier","Hoy hace GetComponent por soldado por frame, guardarlo en el Bootstrap","Instrumentar y contar llamadas a GetComponent durante cien frames","Cero llamadas por frame en el bucle","HECHO","Critica"
"224","L3 Feedback y escala","Performance","IA repartida en el tiempo","Procesar un subconjunto de unidades por frame en vez de todas","Medir el tiempo de Update con cincuenta unidades antes y despues","El costo por frame baja de forma proporcional","HECHO","Critica"
"225","L3 Feedback y escala","Performance","Grilla espacial para el sensado","FindNearestEnemyInRange es lineal, con cincuenta contra cincuenta son miles de comparaciones","Contar comparaciones por tick con cincuenta unidades","El conteo deja de crecer cuadraticamente","HECHO","Critica"
"226","L3 Feedback y escala","Performance","Grafo de waypoints estandarizado","Reemplazar los arreglos sueltos por soldado por un grafo compartido con rutas por indice","Verificar que las rutas referencian el grafo y no copias","No hay duplicacion de puntos por soldado","Pendiente","Alta"
"227","L3 Feedback y escala","Performance","Campos de flujo para movimiento masivo","Un campo de direccion compartido por el grupo en vez de calcular por unidad","Medir el costo de mover cincuenta unidades al mismo destino","El costo no escala linealmente con las unidades","Pendiente","Alta"
"228","L3 Feedback y escala","Performance","Evitacion entre unidades","Sin esto cincuenta soldados se atraviesan y se amontonan","Mover cincuenta al mismo punto y medir la distancia minima entre pares","Ningun par queda por debajo de la distancia minima","Pendiente","Alta"
"229","L3 Feedback y escala","Performance","Pool de proyectiles dimensionado","El prewarm de veinticuatro se agota en combate frenetico","Disparar en rafaga masiva y leer FreeCount y los Instantiate ocurridos","El pool no se agota y no hay instanciacion en combate","Pendiente","Alta"
"230","L3 Feedback y escala","Performance","Instanciado por GPU de soldados","Un solo draw call para todos los cuerpos iguales","Medir draw calls con cincuenta soldados antes y despues","Los draw calls bajan drasticamente","Pendiente","Media"
"231","L3 Feedback y escala","Performance","LOD de UI del mundo","Barras, anillos y marcadores solo dentro de distancia y de camara","Alejar la camara y contar elementos activos","Los elementos lejanos se desactivan","Pendiente","Alta"
"232","L3 Feedback y escala","Performance","Reciclar anillos de seleccion","SelectionRingManager crea y destruye objetos en cada cambio","Cambiar la seleccion muchas veces y contar instanciaciones","Cero instanciaciones tras el primer llenado del pool","Pendiente","Alta"
"233","L3 Feedback y escala","Performance","Iconos de minimapa por lote","Un unico mesh procedural en vez de un LateUpdate por icono","Contar componentes con LateUpdate activo con cincuenta unidades","Un solo actualizador para todos los iconos","Pendiente","Media"
"234","L3 Feedback y escala","Performance","Presupuesto global de efectos","Tope de particulas y escombros simultaneos que descarta lo menos importante","Saturar de efectos y contar los activos","Nunca supera el tope definido","Pendiente","Alta"
"235","L3 Feedback y escala","Performance","Panel de diagnostico en vivo","FPS, unidades activas, proyectiles en vuelo y efectos en curso","Activar el panel y comparar sus numeros con el estado real","Los valores coinciden con el estado real de la escena","Pendiente","Alta"
