"ID","Lote","Categoria","Titulo","Prioridad","Estado","Problema que resuelve","Implementacion detallada","Archivos afectados","Pasos de test","Criterio de aceptacion","Dependencias","Riesgo","Esfuerzo"
"52","L1","IT13 Onboarding","Resaltar la primera accion","Baja","Pendiente","Al empezar el jugador no sabe cual es el primer paso razonable, lo que produce varios segundos de paralisis inicial.","Guiar visualmente la primera accion sugerida y apagarla en cuanto el jugador la ejecuta.","UI nueva. Presentation/GameplaySceneBootstrap.cs","Iniciar y verificar el resalte. Ejecutar la accion y verificar que se apaga y no vuelve.","Se apaga al completar la accion y no reaparece.","Punto 49","Bajo","M"
"53","L1","IT14 Legibilidad","Contorno en textos","Media","Pendiente","Los textos del HUD son blancos sin contorno. Sobre el cielo claro o sobre el terreno arenoso pierden contraste y se vuelven ilegibles justo en movimiento.","Agregar componente Outline o Shadow a los Text criticos del HUD durante la construccion, con un contorno oscuro fino.","Editor/HeadlessTestRunner.cs en la construccion de cada panel","Recorrer los Text del canvas y verificar que los criticos tienen el componente de contorno.","Todos los textos criticos del HUD tienen contorno.","Ninguna","Bajo","S"
"54","L1","IT14 Legibilidad","Tamaños consistentes","Baja","Pendiente","Los fontSize se fueron eligiendo panel por panel, asi que la jerarquia visual no corresponde a la importancia real de cada dato.","Definir tres tamaños fijos para titulo, dato principal y dato secundario y aplicarlos en toda la construccion del HUD.","Editor/HeadlessTestRunner.cs","Listar el fontSize de todos los Text del canvas y agrupar los valores distintos.","Los tamaños caen en un conjunto reducido y coherente con la jerarquia.","Punto 53","Bajo","M"
"55","L1","IT14 Legibilidad","Evitar solapamiento","Alta","Pendiente","Varios paneles se anclan al mismo rincon. WeaponStatus y VehicleStatus ya comparten posicion exacta y funcionan solo porque nunca se muestran juntos, lo que es fragil ante cualquier cambio futuro.","Auditar los rects de todos los paneles que pueden estar activos a la vez y garantizar que no se intersecten, documentando los pares mutuamente excluyentes.","Editor/HeadlessTestRunner.cs. Todas las vistas de UI.","Calcular los rects en pantalla de los paneles activos simultaneamente y buscar intersecciones en cada estado del juego.","Cero intersecciones entre paneles que pueden coexistir.","Ninguna","Medio. Requiere revisar todos los estados posibles, no solo el inicial.","M"
"56","L1","IT14 Legibilidad","Margenes consistentes","Baja","Pendiente","Cada panel usa su propio margen al borde, lo que da una sensacion de HUD desprolijo aunque cada pieza este bien.","Unificar la separacion al borde con una constante compartida usada por todos los anclajes.","Editor/HeadlessTestRunner.cs","Leer anchoredPosition de todos los paneles anclados a bordes y comparar los margenes por borde.","Los margenes son identicos para todos los paneles de un mismo borde.","Punto 55","Bajo","S"
"57","L1","IT15 Feedback disparo","Retroceso del viewmodel","Alta","Pendiente","El cubo del arma esta completamente inmovil al disparar. Sin movimiento el disparo se siente como apretar un boton, no como usar un arma.","Desplazar el viewmodel hacia atras en el eje local de profundidad al disparar y devolverlo por lerp. La magnitud debe variar por WeaponKind leida del catalogo.","Player/PlayerInputDriver.cs en UpdateWeaponViewmodel","Guardar localPosition, disparar y muestrear en frames sucesivos hasta el retorno.","Se desplaza al disparar y vuelve a la posicion original.","Ninguna","Bajo. Cuidado de no cruzar el near clip, que ya causo que el viewmodel desapareciera.","S"
"58","L1","IT15 Feedback disparo","Fogonazo en la boca","Alta","Pendiente","No hay ninguna señal en el arma al disparar. El unico indicio es el proyectil que ya salio, que a veces ni se ve.","Destello breve en la posicion del Muzzle que se apaga en pocos frames, generado desde un pool y no instanciado por disparo.","Combat/WeaponHolder.cs. Presentation nueva con pool.","Disparar y verificar que el efecto se activa y se apaga en el plazo esperado.","Dura pocos frames, se apaga solo y vuelve al pool.","Punto 137","Bajo","M"
"59","L1","IT15 Feedback disparo","Marcador de impacto en el mundo","Alta","Pendiente","Al errar un tiro no se ve donde pego, asi que no se puede corregir la punteria. El jugador no aprende de sus fallos.","ImpactFx en el punto exacto de colision del proyectil, ya existe el componente y el evento con el punto de impacto.","Presentation/ImpactFx.cs. Combat/Projectile.cs","Disparar a una superficie conocida y comparar la posicion del efecto contra el punto de impacto reportado.","Aparece en el punto correcto dentro de una tolerancia minima.","Ninguna","Bajo","S"
"60","L1","IT15 Feedback disparo","Confirmacion de baja distinta","Alta","Pendiente","Herir y matar producen la misma señal. El jugador no sabe si tiene que seguir disparando a ese enemigo o pasar al siguiente, que es la decision mas frecuente del combate.","Señal claramente separada para la baja respecto del impacto, en forma, color y sonido. Se dispara desde EntityDiedEvent filtrando por atacante propio.","UI/AimUI.cs. Presentation/GenericSfx.cs","Herir un enemigo y luego matarlo, comparando los efectos y sonidos de cada caso.","Los dos casos producen señales visual y sonoramente distintas.","Punto 162","Bajo","S"
"61","L1","IT16 Escuadra","Aviso de aliado bajo ataque","Media","Pendiente","Si atacan a un aliado que no estas controlando no te enteras hasta que muere. No hay ventana para reaccionar y ayudarlo.","Notificacion al recibir DamageTakenEvent cuyo TargetId pertenece a la escuadra y no es el poseido, con supresion para no repetir por cada bala.","Player/PlayerInputDriver.cs. UI vista de avisos.","Dañar a un aliado varias veces seguidas y verificar el aviso y que no se repite por cada impacto.","Aparece con el nombre correcto y se agrupa en vez de repetirse.","Punto 216","Bajo","M"
"62","L1","IT16 Escuadra","Aviso de aliado con poca vida","Media","Pendiente","No hay aviso previo a la muerte de un aliado. La primera noticia es que ya cayo, cuando ya no se puede hacer nada.","Alerta al cruzar hacia abajo un umbral de vida, disparada una sola vez por cruce y rearmada si el soldado se recupera.","Player/PlayerInputDriver.cs. Combat/Health.cs para el evento.","Bajar la vida de un aliado por debajo del umbral en varios golpes y contar los avisos emitidos.","Se avisa exactamente una vez por cruce del umbral.","Punto 61","Bajo","S"
"63","L1","IT16 Escuadra","Indicador de aliados fuera de pantalla","Media","Pendiente","En FPS no se sabe donde quedaron los aliados. Se pierde por completo la nocion de escuadra en cuanto salen del encuadre.","Marca en el borde de pantalla apuntando hacia cada aliado no visible, con la posicion calculada por proyeccion a la camara y recorte al borde.","UI nueva vista","Alejar un aliado del encuadre y leer la posicion y direccion de la marca. Volver a encuadrarlo y verificar que desaparece.","La marca aparece solo fuera de encuadre y apunta en la direccion correcta.","Punto 231","Medio. Con muchas unidades hay que limitar cuantas marcas se muestran.","M"
"64","L1","IT16 Escuadra","Resaltar el aliado poseible mas cercano","Baja","Pendiente","Para poseer hay que apuntar con precision a un aliado, sin ninguna pista de cual esta en rango util.","Destacar visualmente el candidato de posesion mas proximo entre los vivos, actualizado a intervalo y no por frame.","Player/PlayerInputDriver.cs. Player/AimTargeting.cs","Acercarse a un aliado y verificar el resalte, luego acercarse a otro y verificar que el resalte se traslada.","Solo el mas cercano vivo queda resaltado en cada momento.","Punto 225","Bajo","S"
"65","L1","IT17 Enemigos","Vida del enemigo al apuntar","Alta","Pendiente","Al apuntar a un enemigo el panel ya muestra datos pero conviene garantizar que la vida sea el dato mas prominente, porque decide si conviene rematar o cubrirse.","Jerarquizar la vida dentro del panel de informacion que ya existe y alimentarla del Health real del objetivo apuntado.","UI/AimUI.cs en UpdateSoldierInfo","Apuntar a un enemigo previamente herido y comparar el valor del panel contra su vida real.","El valor coincide con la vida real y es el dato mas destacado del panel.","Ninguna","Bajo","S"
"66","L1","IT17 Enemigos","Indicador de enemigo que te dispara","Alta","Pendiente","Recibir fuego de un enemigo fuera de camara no da ninguna pista de su ubicacion, lo que convierte los tiroteos a distancia en muertes sin informacion.","Marca de amenaza en el borde para atacantes fuera de encuadre, derivada del AttackerId del evento de daño y con expiracion propia.","UI nueva vista. Comparte calculo con el punto 17.","Hacer que un enemigo fuera de camara dispare al jugador y leer la direccion de la marca.","La marca aparece en la direccion real del atacante.","Punto 17","Medio","M"
"67","L1","IT17 Enemigos","Distinguir alerta de desprevenido","Media","Pendiente","AiStateChangedEvent ya se publica pero no se muestra en ninguna parte. El jugador no puede saber si un enemigo lo detecto, que es la informacion clave para decidir si atacar o rodear.","Señal visual sobre el enemigo derivada de su AiState, distinguiendo al menos patrulla de persecucion.","Presentation nueva. Ai/AiBrain.cs ya publica el evento.","Forzar el cambio de estado del enemigo y leer la señal antes y despues.","La señal cambia de forma visible al cambiar el estado.","Punto 231","Bajo","M"
"68","L1","IT17 Enemigos","Marcar el enemigo objetivo","Media","Pendiente","Con varios enemigos agrupados no queda claro a cual le vas a pegar, lo que produce disparos desperdiciados en el objetivo equivocado.","Resaltar al objetivo bajo la mira usando el resultado que AimTargeting ya calcula cada frame.","Player/PlayerInputDriver.cs en UpdateAimHighlight","Apuntar a un enemigo dentro de un grupo y verificar que solo el queda marcado.","Solo el objetivo efectivo bajo la mira queda marcado.","Ninguna","Bajo","S"
"69","L1","IT18 Camara","Limites de paneo en RTS","Alta","Pendiente","Pan suma directo a la posicion sin ningun limite. El jugador puede alejarse infinitamente del mapa y quedar mirando el vacio sin saber como volver.","Clamp de la posicion de camara a los limites del mapa, definidos desde el bootstrap de la escena y no cableados en el rig.","Camera/CameraRig.cs en Pan. Presentation/GameplaySceneBootstrap.cs","Panear al extremo en las cuatro direcciones y leer la posicion final en cada caso.","Se detiene dentro de los limites definidos en las cuatro direcciones.","Punto 70","Bajo","S"
"70","L1","IT18 Camara","Recentrar en la escuadra","Alta","Pendiente","Si la camara se pierde no hay forma rapida de volver a la accion mas que panear a mano hasta encontrar a la tropa.","Comando que calcula el centroide de los aliados vivos y lleva la camara ahi, idealmente con el mismo lerp de transicion.","Camera/CameraRig.cs. Player/PlayerInputDriver.cs atajo.","Panear lejos, ejecutar el comando y comparar la posicion final contra el centroide calculado.","La camara queda sobre el centroide de la escuadra viva.","Punto 202","Bajo","S"
"71","L1","IT18 Camara","Zoom con limites claros","Media","Pendiente","Zoom ya hace clamp entre seis y sesenta pero al llegar al tope no comunica nada, asi que el jugador sigue girando la rueda sin entender por que no pasa nada.","Mantener el clamp existente y agregar una señal al alcanzar el limite.","Camera/CameraRig.cs en Zoom","Hacer zoom mas alla del tope en ambos sentidos y leer el valor y la señal.","Se detiene en el limite y emite la señal al alcanzarlo.","Ninguna","Bajo","S"
"72","L1","IT18 Camara","Suavizado del paneo","Media","Pendiente","Pan modifica la posicion directamente cada frame, lo que produce un movimiento duro y dependiente del frame rate.","Interpolar hacia una posicion objetivo en vez de sumar directo, manteniendo la velocidad configurable.","Camera/CameraRig.cs en Pan","Aplicar un paneo de un frame y muestrear la posicion en los frames siguientes.","La posicion converge suavemente al destino en vez de saltar.","Punto 69","Bajo","S"
"73","L1","IT19 Accesibilidad","Sensibilidad separada por modo","Media","Pendiente","Un solo valor de sensibilidad gobierna mirar en primera persona y panear en vista tactica, que son gestos con escalas totalmente distintas. Ajustar uno arruina el otro.","Dos valores independientes con su propio ajuste, aplicados en la rama correspondiente.","Player/PlayerInputDriver.cs. Presentation/PauseController.cs","Cambiar uno de los dos valores y verificar que el otro no se altera y que cada uno afecta solo a su modo.","Los dos valores son independientes y afectan solo a su modo.","Punto 46","Bajo","S"
"74","L1","IT19 Accesibilidad","Tamaño de HUD ajustable","Media","Pendiente","El HUD tiene tamaño fijo, lo que lo vuelve dificil de leer en pantallas grandes a distancia o en resoluciones altas.","Escalar el CanvasScaler desde la configuracion y persistir la eleccion junto al resto de opciones.","Presentation/PauseController.cs. Editor/HeadlessTestRunner.cs canvas.","Cambiar la opcion, leer la escala del canvas y recargar la escena para verificar la persistencia.","La escala cambia y se conserva tras recargar.","Punto 46","Bajo","S"
"75","L1","IT19 Accesibilidad","Invertir eje Y","Media","Pendiente","No hay opcion de invertir el eje vertical, que es un requisito basico de accesibilidad y una preferencia muy comun entre jugadores de shooter.","Multiplicador de signo aplicado al delta de pitch antes de pasarlo a AddPitch, persistido con el resto de opciones.","Player/PlayerInputDriver.cs en UpdateFps. Presentation/PauseController.cs","Activar la opcion y comparar el signo del cambio de pitch ante el mismo movimiento de mouse.","El pitch se mueve en sentido contrario con la opcion activa.","Punto 46","Bajo","S"
"76","L1","IT19 Accesibilidad","Mirilla configurable","Baja","Pendiente","La mirilla es un punto blanco fijo. Sobre fondos claros desaparece y no hay forma de ajustarla.","Permitir elegir color y tamaño base de la mirilla, respetando esos valores como base sobre la que operan el tinte por objetivo y el destello de impacto.","UI/AimUI.cs. Presentation/PauseController.cs","Cambiar las opciones y leer color y sizeDelta base, luego apuntar a un enemigo y verificar que el tinte sigue funcionando sobre la nueva base.","Los valores aplicados coinciden con lo elegido y el tinte por objetivo sigue operando.","Punto 76 depende de que AimUI conserve el color base","Medio. AimUI cachea crosshairBaseColor al iniciar, hay que refrescarlo al cambiar la opcion.","M"
"77","L1","IT20 Pulido","Textos en español consistente","Media","Pendiente","Los textos se fueron escribiendo en distintos momentos. Conviven terminos distintos para el mismo concepto y faltan tildes en varios lugares.","Volcar todos los textos del HUD, unificar terminologia por concepto y corregir acentuacion.","Todas las vistas de UI y Editor/HeadlessTestRunner.cs","Volcar el texto de todos los Text del canvas en todos los estados y revisarlos en conjunto.","Sin faltas de ortografia y un unico termino por concepto en todo el juego.","Punto 78","Bajo","M"
"78","L1","IT20 Pulido","Sin estados de UI colgados","Alta","Pendiente","Este proyecto ya tuvo varios casos de paneles que quedaban visibles fuera de contexto, como el cuadro de seleccion al cambiar de modo a mitad de arrastre. Es un patron recurrente que merece auditoria sistematica.","Recorrer todos los flujos verificando activeSelf de cada panel al final de cada transicion de estado, y documentar que panel corresponde a que estado.","Todas las vistas de UI. Player/PlayerInputDriver.cs.","Ejecutar el flujo completo del juego y auditar el activeSelf de todos los paneles al final de cada paso.","Ningun panel queda activo fuera de su contexto en ningun flujo.","Punto 55","Medio. Requiere cubrir combinaciones y no solo el camino feliz.","L"
"79","L1","IT20 Pulido","Regresion completa","Alta","Pendiente","Probar el flujo a mano no escala y ya demostro dejar pasar fallos graves, como los botones que no funcionaban en Play mode y solo se detectaron simulando clicks reales.","Recorrido automatizado de menu, partida, pausa, fin y reintentar usando EventSystem.RaycastAll y ExecuteEvents para simular clicks verdaderos y no invocar los handlers directamente.","Editor/HeadlessTestRunner.cs o runner nuevo","Ejecutar el recorrido completo verificando en cada paso la escena activa y el estado de los paneles.","El recorrido completo pasa sin intervencion manual y detecta botones no cableados.","Punto 78","Medio","L"
"80","L1","IT20 Pulido","Suite automatizada en verde","Alta","Pendiente","La suite es la unica red de seguridad ante los fallos silenciosos tipicos de Unity, que no producen ningun error visible.","Mantener HeadlessTestRunner.RunAll sin errores tras cada cambio, limpiando la consola antes para no leer entradas obsoletas del buffer.","Editor/HeadlessTestRunner.cs","Limpiar consola, correr la suite y contar entradas de nivel error. Repetir para descartar entradas obsoletas.","Cero errores y mensaje de exito final en dos corridas consecutivas.","Ninguna","Bajo","S"
"81","L1","Bug de fondo","Victoria con enemigos vivos","Alta","HECHO","BattleManager decidia la victoria contra la lista de cuatro enemigos de patrulla cableada en la escena, pero el mapa tiene siete. Se podia ganar con tres enemigos vivos disparandole al jugador.","Reemplazar el recorrido de la lista por ActorRegistry.CountAlive de cada equipo, que refleja lo que el jugador realmente ve en pantalla.","Presentation/BattleManager.cs","Matar solo los enemigos de la sublista y verificar que la victoria no se dispara mientras queden otros vivos.","La victoria solo salta con cero enemigos vivos reales.","Punto 82","Medio. Cambia la condicion de fin de partida.","M"
"82","L1","Bug de fondo","Soldado inactivo sin registrar","Alta","HECHO","Soldier registra en Awake, pero Awake no corre en GameObjects que ya estan desactivados al cargar la escena. Un soldado guardado dentro del vehiculo quedaba fuera del registro para siempre, invisible para el sensado de la IA, la victoria y los contadores, aunque estuviera vivo.","Metodo EnsureAllRegistered que barre con FindObjectsInactive.Include, llama a Bootstrap y da de alta a cada soldado encontrado.","Core/ActorRegistry.cs","Desactivar un soldado antes de cargar la escena y verificar que aparece en el registro tras el barrido.","Todos los soldados de la escena estan registrados, activos o no.","Ninguna","Medio. El barrido es costoso, no debe llamarse por frame.","M"
"83","L1","Bug de fondo","Soldado montado fuera del conteo","Alta","HECHO","Montar a un soldado desactiva su GameObject. El contador de escuadra lo interpretaba como baja y mostraba menos aliados de los que realmente estaban vivos.","CountAlive se apoya en el registro tras EnsureAllRegistered y filtra por Health y no por estado de activacion.","Core/ActorRegistry.cs","Montar un soldado en el vehiculo y leer el contador de escuadra antes y despues.","El contador no baja al montar y solo baja al morir.","Punto 82","Bajo","S"
"84","L1","Bug de fondo","Roster no se actualizaba en Play","Alta","HECHO","La lista rows se llena con AddRow al construir la escena en el editor, pero es una lista de objetos C comunes que no sobrevive al domain reload. Quedaba vacia en Play, asi que ni el resaltado de posesion que ya existia funcionaba en el juego real. Se veia bien solo en la escena de editor.","Reconstruccion en OnEnable recorriendo los hijos con prefijo de fila y volviendo a atar cada uno a su soldado por nombre contra el registro.","UI/SelectedSoldierUI.cs","Entrar en Play y verificar que las filas reflejan datos vivos y cambian al dañar o matar soldados.","Las filas se actualizan correctamente en Play mode.","Punto 82","Medio. El emparejamiento por nombre exige nombres unicos.","M"
"85","L1","Bug de fondo","Poseido inicial sin marcar","Alta","HECHO","PossessionChangedEvent solo se publica al cambiar de soldado, nunca en la posesion inicial del arranque. Al empezar la partida ninguna fila aparecia marcada como el soldado propio hasta poseer a otro.","Leer el id del poseido desde el PlayerBrain en LateUpdate y refrescar cuando difiere del cacheado, en vez de depender solo del evento.","UI/SelectedSoldierUI.cs","Iniciar partida y leer la marca del roster sin cambiar de soldado.","El poseido inicial aparece marcado desde el primer frame.","Punto 84","Bajo","S"
"86","L2","Disparo","Retroceso de camara","Alta","Pendiente","La camara queda perfectamente inmovil al disparar. Sin culatazo el arma no transmite potencia y todas las armas se sienten iguales sin importar su daño.","Sumar un impulso de pitch en CameraRig al disparar que decae por lerp. La magnitud sale del WeaponKind para que Heavy patee notoriamente mas que Pistol. Conviene que el retorno no sea exacto al origen para que el disparo sostenido derive hacia arriba.","Camera/CameraRig.cs. Combat/WeaponHolder.cs para notificar el disparo. Player/PlayerInputDriver.cs.","Guardar el pitch, disparar y muestrear en frames sucesivos. Repetir con las tres armas y comparar la magnitud del pico.","El pitch sube al disparar y vuelve en menos de 0.3 segundos, con picos distintos por arma.","Punto 57","Bajo","M"
"87","L2","Disparo","Dispersion visible de la mirilla","Alta","Pendiente","La mirilla tiene tamaño fijo, asi que no comunica la precision real del arma. El jugador no puede saber si conviene disparar en rafaga o esperar a estabilizarse.","Acumular dispersion al disparar y al moverse y decaerla al estar quieto, reflejandola en el sizeDelta de la mirilla. La dispersion mostrada debe corresponder a la dispersion real aplicada al proyectil, o el indicador miente.","UI/AimUI.cs. Combat/WeaponHolder.cs para la dispersion real.","Leer sizeDelta tras cinco disparos seguidos y tras dos segundos quieto. Verificar que la desviacion real de los proyectiles corresponde al tamaño mostrado.","El tamaño crece al disparar, vuelve al minimo en reposo y corresponde a la dispersion real.","Punto 86","Medio. Si la dispersion visual no coincide con la real el indicador es peor que no tenerlo.","M"
"88","L2","Disparo","Audio distinto por arma","Media","Pendiente","GenericSfx genera un unico tono de disparo para las tres armas. Cambiar de arma no cambia nada audible, que es la mitad de la sensacion de cambiar de arma.","Parametrizar frecuencia, duracion y decay por WeaponKind en el generador, cacheando un clip por arma como ya se hace por SfxKind.","Presentation/GenericSfx.cs","Pedir el clip de cada arma y comparar longitud de muestras y frecuencia dominante.","Cada arma devuelve un clip audiblemente distinto.","Ninguna","Bajo","S"
"89","L2","Disparo","Sonido de gatillo vacio","Media","Pendiente","Con el cargador vacio el disparo no produce nada. El silencio total se lee como que el juego no registro el click.","Clip corto y seco reproducido cuando se intenta disparar con municion en cero, con supresion para que mantener el boton no lo repita sesenta veces por segundo.","Combat/WeaponHolder.cs. Presentation/GenericSfx.cs","Vaciar el cargador, disparar y verificar el clip reproducido y que mantener el boton no lo repite por frame.","TryFire devuelve false, suena un clip distinto al de disparo y no se repite por frame.","Punto 13","Bajo","S"
"90","L2","Disparo","Cadencia sostenida","Alta","Pendiente","El disparo usa wasPressedThisFrame, asi que hay que clickear una vez por bala. Eso hace imposible cualquier sensacion de combate frenetico.","Usar isPressed para las armas que deban ser automaticas, dejando el fireCooldown como unico limitante de la cadencia. Conviene que el catalogo defina que armas son automaticas.","Player/PlayerInputDriver.cs en UpdateFps. Combat/WeaponCatalog.","Mantener el boton un segundo simulado y contar los proyectiles creados, comparando contra el segundo dividido el fireCooldown.","La cantidad de proyectiles corresponde al cooldown del arma.","Punto 229","Medio. Multiplica el consumo del pool de proyectiles.","S"
"91","L2","Disparo","Hitmarker direccional","Alta","Pendiente","Hoy el impacto solo tiñe la mirilla, que es un cambio sutil y facil de perder en combate. Falta la confirmacion inequivoca de haber acertado.","Cuatro lineas en X alrededor de la mirilla que aparecen solo al impactar a un enemigo y se apagan rapido, distintas del tinte por objetivo que ya existe.","UI/AimUI.cs","Publicar DamageTakenEvent con AttackerId propio y leer el estado del hitmarker en el momento y tras la expiracion.","Se activa al impactar y se apaga a los 0.2 segundos.","Punto 20","Bajo","S"
"92","L2","Disparo","Confirmacion sonora de baja","Alta","Pendiente","Matar suena igual que herir. El jugador no recibe recompensa audible por completar el objetivo mas basico del juego.","Tono agudo adicional cuando el EntityDiedEvent corresponde a un enemigo cuyo ultimo atacante fue el jugador, superpuesto al sonido de muerte existente.","Presentation/GenericSfx.cs. Combat/Health.cs para conservar el ultimo atacante.","Matar un enemigo con AttackerId propio y verificar los clips reproducidos. Matar con un aliado y verificar que el tono no suena.","Suena el clip de muerte mas el tono de confirmacion solo en bajas propias.","Punto 60","Bajo","S"
"93","L2","Disparo","Trazadora del proyectil","Media","Pendiente","El proyectil es un objeto chico moviendose rapido, practicamente invisible. No se puede leer la trayectoria ni entender por que se erro.","Estirar el proyectil en su eje de avance mientras vuela y devolverlo a escala normal al volver al pool, para que la escala no persista entre reutilizaciones.","Combat/Projectile.cs","Comparar localScale del proyectil en vuelo contra el estado en reposo dentro del pool.","La escala en vuelo es mayor y se restaura al volver al pool.","Punto 229","Bajo. Cuidado de restaurar la escala al reciclar o los proyectiles saldran deformados.","S"
"94","L2","Disparo","Impacto segun material","Media","Pendiente","EnvironmentHitEvent ya distingue vehiculo, obstaculo y suelo, pero esa informacion solo tiñe la mirilla. El mundo no reacciona distinto segun contra que pegaste.","Efecto de impacto distinto por EnvironmentHitKind en color y particula, servido desde un pool unico con presupuesto compartido.","Presentation/ImpactFx.cs. Combat/Projectile.cs","Disparar a suelo, obstaculo y vehiculo y comparar el efecto generado en cada caso.","Los tres casos generan efectos visualmente distintos.","Punto 137","Bajo","M"
"95","L2","Disparo","Reaccion del cuerpo al daño","Media","Pendiente","Un soldado alcanzado no muestra ninguna reaccion. En vista RTS es imposible saber quien esta recibiendo fuego.","Empujon corto de rotacion o posicion al recibir daño, que vuelve solo. Debe ser barato porque a escala puede haber decenas por segundo.","Actors/Soldier.cs o SoldierMotor.cs","Guardar rotacion, aplicar daño y muestrear en frames siguientes hasta el retorno.","Se desvia visiblemente y vuelve a la rotacion original.","Punto 164","Bajo","S"
"96","L2","Disparo","Aviso central de recarga","Media","Pendiente","La recarga solo se indica en el panel lateral, fuera del punto donde el jugador tiene la vista fija durante el combate.","Texto breve bajo la mirilla mientras IsReloading, compartiendo componente con el aviso de sin municion para que nunca se solapen.","UI/AimUI.cs o vista nueva","Forzar recarga y leer el estado del texto durante y despues. Verificar que no coexiste con el aviso de sin municion.","Visible durante la recarga, apagado al terminar y nunca simultaneo con el otro aviso.","Punto 13","Bajo","S"
"97","L2","Vehiculo","Inercia de camara","Alta","Pendiente","La camara del vehiculo esta rigidamente pegada al ancla. El tanque se siente sin masa, como una camara que flota en vez de un vehiculo de varias toneladas.","Desplazar el ancla de camara en sentido contrario a la aceleracion, proporcional a la variacion de CurrentSpeed, con retorno suave.","Camera/CameraRig.cs. Player/PlayerInputDriver.cs en UpdateVehicleCamera.","Comparar el offset de camara a velocidad cero, acelerando y frenando.","El offset difiere claramente entre acelerar, frenar y velocidad constante.","Punto 98","Bajo","M"
"98","L2","Vehiculo","Sacudida al andar","Alta","Pendiente","VehicleMotor mueve el transform con matematica pura sin fisica, asi que el desplazamiento es perfectamente liso. Conducir se siente como deslizarse sobre hielo.","Vibracion de camara proporcional a CurrentSpeed, sumada al presupuesto global de sacudida para que no se acumule con explosiones.","Camera/CameraRig.cs. Player/PlayerInputDriver.cs","Muestrear la posicion de camara treinta frames en movimiento y treinta detenido y comparar la varianza.","La varianza es mayor en movimiento y crece con la velocidad.","Punto 180","Bajo","M"
"99","L2","Vehiculo","Sonido de motor por velocidad","Alta","Pendiente","El vehiculo es completamente mudo. No hay ninguna realimentacion sonora de que estas conduciendo ni de a que velocidad vas.","AudioSource en bucle cuyo pitch y volumen siguen la razon entre CurrentSpeed y MaxSpeed, con un piso audible en ralenti.","Vehicles/VehicleMotor.cs o componente nuevo. Presentation/GenericSfx.cs","Leer pitch y volumen del AudioSource a velocidad cero, media y maxima.","El pitch sube monotonamente con la velocidad y hay sonido en ralenti.","Punto 186","Bajo","M"
"100","L2","Vehiculo","Marcha atras distinguible","Media","Pendiente","CurrentSpeed negativo se maneja igual que positivo en todo el feedback. No hay forma de saber que estas yendo marcha atras salvo mirar el paisaje.","Indicador dedicado cuando la velocidad es negativa mas un tono de motor mas grave, aprovechando que el motor ya limita la marcha atras a la mitad de la velocidad.","UI/VehicleStatusView.cs. Componente de audio del motor.","Aplicar throttle negativo y leer el indicador y el pitch del motor.","El indicador aparece solo con velocidad negativa y el tono baja.","Punto 99","Bajo","S"
"101","L2","Vehiculo","Feedback de frenado","Media","Pendiente","Brake reduce la velocidad pero no comunica absolutamente nada. El jugador no distingue frenar de simplemente soltar el acelerador.","Señal visual mientras se frena mas una desaceleracion perceptible en la inercia de camara, que ya distingue frenar de acelerar.","UI/VehicleStatusView.cs. Camera/CameraRig.cs","Llamar Brake y verificar el indicador y el desplazamiento de camara respecto de soltar el acelerador.","El indicador se activa al frenar y se distingue de soltar el acelerador.","Punto 97","Bajo","S"
"102","L2","Vehiculo","Aviso de colision","Media","Pendiente","VehicleMotor suma la posicion directamente sin fisica ni deteccion, asi que el tanque atraviesa o empuja sin ninguna consecuencia audible ni visual.","Deteccion de choque contra obstaculos que dispare sacudida y sonido y frene parcialmente la velocidad, sin necesidad de fisica completa.","Vehicles/VehicleMotor.cs","Mover el vehiculo contra un obstaculo y verificar el evento, la sacudida y la reduccion de velocidad.","Se dispara el efecto de choque y la velocidad se reduce.","Punto 180","Medio. Agregar deteccion cambia el comportamiento de conduccion existente.","M"
"103","L2","Vehiculo","Entrada al vehiculo mas legible","Media","Pendiente","BeginTransition ya suaviza el movimiento de camara pero el cambio de contexto sigue siendo abrupto, sobre todo porque cambia todo el HUD a la vez.","Fundido breve mas texto de estado que cubran la transicion, sincronizados con la duracion real de BeginTransition.","Player/PlayerInputDriver.cs en EnterPossessedVehicleSeat","Montar y verificar que la duracion de la transicion coincide con la declarada y que el texto se apaga solo.","La transicion dura lo declarado y el texto expira sin quedar colgado.","Punto 78","Bajo","S"
"104","L2","Vehiculo","Bajar del lado correcto","Alta","Pendiente","Dismount reposiciona a todos los ocupantes con la misma regla, asi que al bajar varios quedan superpuestos o dentro del chasis, que ademas los deja atrapados.","Calcular un punto de salida por asiento, desplazado al costado correspondiente del chasis y validado para no quedar dentro de geometria.","Vehicles/Vehicle.cs en Dismount","Montar cuatro soldados, desmontar todos y comparar las cuatro posiciones resultantes y su distancia al centro del chasis.","Cuatro posiciones distintas y ninguna dentro del chasis.","Ninguna","Medio. Afecta tambien al desmontaje automatico por destruccion del vehiculo.","M"
